ID,Country,Carrier,TrafficType,ClickDate,Device,Browser,OS,RefererUrl,UserIp,ConversionStatus,ConversionDate,ConversionPayOut,publisherId,subPublisherId,advertiserCampaignId,Fraud
24,TH,-1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,49.228.213.206,False,,0.0,520,,7510.0,0.0
25,IN,-1.0,A,2017-08-21 00:00:01,Samsung,chrome,Android,,47.247.13.46,False,,0.0,619,,10128.0,0.0
26,IT,133.0,,2017-08-21 00:00:01,Generic,android_webkit,Android,,91.252.185.150,False,,0.0,282,,1643.0,0.0
27,YE,-1.0,M,2017-08-21 00:00:01,Vega,android_webkit,Android,d.billyaffcontent.com,63.171.19.238,False,,0.0,1138,,4901.0,0.0
28,IN,1.0,A,2017-08-21 00:00:01,Lenovo,chromium,Android,,106.203.161.110,False,,0.0,1129,,15644.0,0.0
29,IN,2.0,A,2017-08-21 00:00:01,Apple,iphone,iOS,,42.106.59.8,False,,0.0,238,,5711.0,0.0
30,BD,45.0,A,2017-08-21 00:00:01,Symphony,46.0.2490.76,Android,yuqazate.com,103.67.159.141,False,,0.0,1052,,4129.0,0.0
31,GT,430.0,M,2017-08-21 00:00:01,Generic,46.0.2490.76,Android,,190.106.201.159,False,,0.0,1138,,4901.0,0.0
32,IN,5.0,A,2017-08-21 00:00:01,Karbonn,chrome,Android,,101.63.15.6,False,,0.0,302,83187,16216.0,0.0
33,IN,4.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,49.15.141.192,False,,0.0,242,,14221.0,0.0
34,MX,-1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,187.227.154.128,False,,0.0,454,,7510.0,0.0
35,BR,215.0,M,2017-08-21 00:00:01,Generic,android_webkit,Android,,201.58.24.17,False,,0.0,1203,,11338.0,0.0
36,IN,-1.0,M,2017-08-21 00:00:01,Micromax,chrome,Android,,101.210.127.239,False,,0.0,55,,4129.0,0.0
37,GT,430.0,M,2017-08-21 00:00:01,Generic,46.0.2490.76,Android,,190.106.211.134,False,,0.0,1138,,4901.0,0.0
38,BD,125.0,,2017-08-21 00:00:01,Micromax,46.0.2490.76,Android,,202.134.13.136,False,,0.0,1306,,2025.0,0.0
39,IN,2.0,M,2017-08-21 00:00:01,Generic,chrome,Android,,42.110.152.235,False,,0.0,437,,8131.0,0.0
40,TH,-1.0,A,2017-08-21 00:00:01,ZTE,chrome,Android,,58.8.153.145,False,,0.0,520,,7510.0,0.0
41,MX,-1.0,A,2017-08-21 00:00:01,UMI,chrome,Android,,177.228.54.11,False,,0.0,454,,7510.0,0.0
42,IN,121.0,A,2017-08-21 00:00:01,Micromax,chrome,Android,,47.9.135.122,False,,0.0,619,,11991.0,0.0
43,IN,2.0,A,2017-08-21 00:00:01,Generic,46.0.2490.76,Android,,42.109.218.225,False,,0.0,242,,7893.0,0.0
44,IN,1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,27.62.72.182,False,,0.0,282,,815.0,0.0
45,IN,121.0,A,2017-08-21 00:00:01,Samsung,chrome,Android,,47.29.67.171,False,,0.0,242,,11991.0,0.0
46,TH,20.0,A,2017-08-21 00:00:01,Lava,chrome,Android,,182.232.143.78,False,,0.0,437,,7510.0,0.0
47,IN,6.0,A,2017-08-21 00:00:01,Generic,uc,Android,162.243.80.250,49.200.152.144,False,,0.0,32960,,3312.0,0.0
48,IN,5.0,A,2017-08-21 00:00:01,Samsung,chrome,Android,,101.61.139.154,False,,0.0,242,,12395.0,0.0
49,BR,-1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,191.248.36.119,False,,0.0,1203,,2024.0,0.0
50,MX,-1.0,A,2017-08-21 00:00:01,Alcatel,chrome,Android,,189.158.216.17,False,,0.0,454,,7510.0,0.0
51,IN,1.0,,2017-08-21 00:00:01,Micromax,chrome,Android,mykuttywap.in,27.62.201.70,False,,0.0,1433,,6554.0,0.0
52,IN,5.0,A,2017-08-21 00:00:01,Xolo,chrome,Android,,101.63.5.90,False,,0.0,282,,16216.0,0.0
53,IN,121.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,49.34.159.92,False,,0.0,238,,10139.0,0.0
54,IN,1.0,,2017-08-21 00:00:01,Generic,android_webkit,Android,palandgana.com,223.225.158.150,False,,0.0,1433,,9662.0,0.0
55,BD,-1.0,M,2017-08-21 00:00:01,Symphony,chrome,Android,,103.229.45.178,False,,0.0,1140,,7292.0,0.0
56,IN,121.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,47.8.11.125,False,,0.0,242,,11991.0,0.0
57,IN,1.0,A,2017-08-21 00:00:01,Micromax,chrome,Android,,27.59.19.244,False,,0.0,209,,8582.0,0.0
58,IN,1.0,,2017-08-21 00:00:01,Generic,android_webkit,Android,obeyter.com,27.60.188.178,False,,0.0,1433,,5893.0,0.0
59,MX,-1.0,M,2017-08-21 00:00:01,Zonda,chrome,Android,,187.163.174.251,False,,0.0,1306,,10227.0,0.0
60,BD,45.0,M,2017-08-21 00:00:01,Lava,chrome,Android,,116.58.203.20,False,,0.0,1203,,2024.0,0.0
61,IN,4.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,1.187.120.118,False,,0.0,619,,10128.0,0.0
62,IN,4.0,A,2017-08-21 00:00:01,Generic,chrome,Android,,1.187.83.137,False,,0.0,242,,14807.0,0.0
63,US,836.0,M,2017-08-21 00:00:01,Generic,chrome,Android,,107.77.241.2,False,,0.0,216,,5893.0,0.0
64,ZA,85.0,M,2017-08-21 00:00:01,Samsung,android_webkit,Android,,41.114.30.223,False,,0.0,437,,7510.0,0.0
65,BD,125.0,,2017-08-21 00:00:01,PiPO,android_webkit,Android,,202.134.13.131,False,,0.0,1306,,2025.0,0.0
66,KR,-1.0,M,2017-08-21 00:00:01,LG,chrome,Android,adquest.co.kr,116.40.168.221,False,,0.0,1306,,4788.0,0.0
67,BD,44.0,A,2017-08-21 00:00:01,Wiko,chrome,Android,,119.30.32.202,False,,0.0,520,,4901.0,0.0
68,DZ,337.0,M,2017-08-21 00:00:01,DOOGEE,chrome,Android,d.billyaffcontent.com,154.121.7.51,False,,0.0,1138,,4901.0,0.0
69,IN,1.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,223.176.128.140,False,,0.0,242,,14544.0,0.0
70,BO,984.0,M,2017-08-21 00:00:01,Samsung,android_webkit,Android,palandgana.com,181.115.134.20,False,,0.0,27,,6113.0,0.0
71,IN,6.0,A,2017-08-21 00:00:01,Samsung,android_webkit,Android,,49.203.209.112,False,,0.0,282,,16367.0,0.0
72,IT,133.0,,2017-08-21 00:00:01,Samsung,chrome,Android,premiumtraff.com,91.253.29.167,False,,0.0,282,,1643.0,0.0
73,TH,25.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,223.24.8.183,False,,0.0,520,,7510.0,0.0
74,IN,121.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,47.9.14.179,False,,0.0,454,,3312.0,0.0
75,IN,4.0,A,2017-08-21 00:00:01,Generic,chrome,Android,,27.97.78.26,False,,0.0,437,,10128.0,0.0
76,IN,121.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,47.8.0.148,False,,0.0,674,,11991.0,0.0
77,TH,20.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,182.232.137.71,False,,0.0,55,,735.0,0.0
78,IN,2.0,A,2017-08-21 00:00:01,Generic,android_webkit,Android,,112.79.191.186,False,,0.0,209,,5711.0,0.0
79,IN,2.0,A,2017-08-21 00:00:01,Samsung,chrome,Android,,112.79.152.154,False,,0.0,35,,11784.0,0.0
80,IN,5.0,M,2017-08-21 00:00:01,Micromax,chrome,Android,rds.vykonia.com,101.58.125.115,False,,0.0,1149,,16216.0,0.0
81,TH,27.0,M,2017-08-21 00:00:01,ZTE,chrome,Android,,1.47.230.132,False,,0.0,216,,7510.0,0.0
82,BD,-1.0,M,2017-08-21 00:00:01,Samsung,chrome,Android,track.brucelead.com,202.191.123.166,False,,0.0,1140,,7292.0,0.0
83,CL,-1.0,A,2017-08-21 00:00:01,Motorola,chrome,Android,koolmedia.info,191.113.122.55,False,,0.0,27409,,3312.0,0.0
84,UK,-1.0,M,2017-08-21 00:00:01,Alcatel,chrome,Android,,80.0.86.233,False,,0.0,282,,0.0,0.0
85,IN,2.0,A,2017-08-21 00:00:01,Coolpad,46.0.2490.76,Android,,42.111.167.166,False,,0.0,242,,7893.0,0.0
86,IN,121.0,A,2017-08-21 00:00:01,LYF,chrome,Android,,47.9.128.94,False,,0.0,216,,11991.0,0.0
87,IN,1.0,A,2017-08-21 00:00:01,Generic,uc,Android,,106.210.212.176,False,,0.0,25651,,10715.0,0.0
88,BO,975.0,M,2017-08-21 00:00:01,Samsung,chrome,Android,obeyter.com,181.114.122.98,False,,0.0,27,,10227.0,0.0
89,RU,-1.0,,2017-08-21 00:00:01,Apple,iphone,iOS,hilltopads.net,94.231.118.53,False,,0.0,1421,,735.0,0.0
90,NG,-1.0,M,2017-08-21 00:00:01,Samsung,android_webkit,Android,,197.211.59.140,False,,0.0,1306,,4904.0,0.0
91,ID,74.0,,2017-08-21 00:00:02,Samsung,android_webkit,Android,,114.125.181.122,False,,0.0,1306,,2024.0,0.0
92,AE,-1.0,M,2017-08-21 00:00:02,Obi,chrome,Android,,2.49.158.22,False,,0.0,55,,9176.0,0.0
93,LK,14.0,A,2017-08-21 00:00:02,Generic,uc,Android,162.243.221.193,175.157.83.230,False,,0.0,8732,,3312.0,0.0
94,IN,1.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,223.231.55.82,False,,0.0,32960,,16458.0,0.0
95,ID,47.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,bestforexplmdb.com,120.188.85.28,False,,0.0,55,,4904.0,0.0
96,ZA,48.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,globalamateurs.com,41.13.18.149,False,,0.0,1160,,2119.0,0.0
97,IN,9.0,M,2017-08-21 00:00:02,Micromax,chrome,Android,,136.185.82.99,False,,0.0,1160,,7181.0,0.0
98,BR,218.0,,2017-08-21 00:00:02,Motorola,chrome,Android,,179.151.127.237,False,,0.0,1421,,1643.0,0.0
99,ID,46.0,A,2017-08-21 00:00:02,Xiaomi,chrome,Android,,112.215.172.33,False,,0.0,55,,13960.0,0.0
100,IN,3.0,M,2017-08-21 00:00:02,Micromax,chrome,Android,,101.222.251.254,False,,0.0,282,,15345.0,0.0
101,IN,2.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,162.243.73.231,112.79.178.171,False,,0.0,18824,,15751.0,0.0
102,BR,210.0,M,2017-08-21 00:00:02,LG,chrome,Android,,189.92.243.38,False,,0.0,1203,,4787.0,0.0
103,BD,44.0,A,2017-08-21 00:00:02,Symphony,46.0.2490.76,Android,track.mobiaffiliates.com,119.30.35.240,False,,0.0,100,,5894.0,0.0
104,GT,430.0,A,2017-08-21 00:00:02,Generic,46.0.2490.76,Android,,190.106.195.21,False,,0.0,26320,,3312.0,0.0
105,BR,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,bldtrax.com,179.97.47.246,False,,0.0,1140,,5893.0,0.0
106,BR,218.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,,191.26.255.228,False,,0.0,1181,,735.0,0.0
107,IN,1.0,A,2017-08-21 00:00:02,Lava,chrome,Android,,106.215.201.203,False,,0.0,242,,14544.0,0.0
108,IN,1.0,A,2017-08-21 00:00:02,Generic,uc,Android,bruceleadx3.com,106.210.212.176,False,,0.0,26622,,815.0,0.0
109,BO,984.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,track.o7go.com,181.115.129.245,False,,0.0,1059,,11338.0,0.0
110,TH,20.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,49.230.191.227,False,,0.0,242,,7510.0,0.0
111,IN,-1.0,M,2017-08-21 00:00:02,Intex,46.0.2490.76,Android,rds.vykonia.com,150.107.102.43,False,,0.0,1149,,13960.0,0.0
112,UK,-1.0,,2017-08-21 00:00:02,Samsung,chrome,Android,,82.16.129.186,False,,0.0,1306,,5520.0,0.0
113,IN,121.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,bldtrax.com,47.9.171.140,False,,0.0,38,,4385.0,0.0
114,IN,1.0,,2017-08-21 00:00:02,Generic,uc,Android,apc.clck-01.online,27.63.19.131,False,,0.0,1433,,6554.0,0.0
115,MW,593.0,M,2017-08-21 00:00:02,G-Five,android_webkit,Android,,105.234.166.29,False,,0.0,1138,,16649.0,0.0
116,ID,47.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,120.188.94.156,False,,0.0,35,,13959.0,0.0
117,BR,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,131.100.216.193,False,,0.0,1140,,5893.0,0.0
118,IN,121.0,A,2017-08-21 00:00:02,Generic,uc,Android,,47.9.128.109,False,,0.0,238,,10139.0,0.0
119,CO,289.0,,2017-08-21 00:00:02,Generic,android_webkit,Android,hilltopads.net,186.119.58.4,False,,0.0,1421,,735.0,0.0
120,CO,290.0,A,2017-08-21 00:00:02,Samsung,android_webkit,Android,redirect.letitnetwork.com,177.252.241.240,False,,0.0,1383,,3312.0,0.0
121,IN,3.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,101.210.86.29,False,,0.0,540,,13449.0,0.0
122,BD,45.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,43.245.123.114,False,,0.0,1306,,12345.0,0.0
123,BD,45.0,,2017-08-21 00:00:02,Generic,chrome,Android,,116.58.205.8,False,,0.0,1306,,10227.0,0.0
124,BD,125.0,,2017-08-21 00:00:02,Samsung,chrome,Android,,202.134.14.131,False,,0.0,1306,,2025.0,0.0
125,EC,339.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,190.63.255.157,False,,0.0,1147,,16126.0,0.0
126,TH,27.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,lrffq.redirectvoluum.com,1.47.39.148,False,,0.0,619,,5893.0,0.0
127,BD,-1.0,M,2017-08-21 00:00:02,Symphony,chrome,Android,,103.51.228.93,False,,0.0,1140,,7292.0,0.0
128,ID,46.0,,2017-08-21 00:00:02,Nokia,android_webkit,Android,d.billyaffcontent.com,112.215.243.242,False,,0.0,264,,12833.0,0.0
129,BD,-1.0,A,2017-08-21 00:00:02,Symphony,46.0.2490.76,Android,,45.123.43.106,False,,0.0,537,,4904.0,0.0
130,SG,-1.0,,2017-08-21 00:00:02,Lenovo,chrome,Android,,139.59.181.246,False,,0.0,1306,,5520.0,0.0
131,US,836.0,A,2017-08-21 00:00:02,Generic,chrome,Android,poketraff.com,107.77.245.5,False,,0.0,282,,2024.0,0.0
132,IN,1.0,A,2017-08-21 00:00:02,Samsung,android_webkit,Android,koolmedia.info,223.225.251.7,False,,0.0,42360,,10715.0,0.0
133,AE,-1.0,M,2017-08-21 00:00:02,Samsung,chrome,Android,,176.204.28.203,False,,0.0,209,,3312.0,0.0
134,MX,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,187.163.179.72,False,,0.0,1203,,10227.0,0.0
135,IN,121.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,,49.34.0.80,False,,0.0,411,,11991.0,0.0
136,RU,699.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,d.billyaffcontent.com,83.220.237.170,False,,0.0,282,,5893.0,0.0
137,TH,27.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,1.46.173.21,False,,0.0,454,,7510.0,0.0
138,AZ,-1.0,M,2017-08-21 00:00:02,Samsung,android_webkit,Android,,94.20.149.218,False,,0.0,1141,,4385.0,0.0
139,TH,27.0,A,2017-08-21 00:00:02,ZTE,chrome,Android,,1.47.138.224,False,,0.0,520,,11829.0,0.0
140,MX,50.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,200.68.136.177,False,,0.0,405,,10963.0,0.0
141,KW,523.0,M,2017-08-21 00:00:02,Lenovo,46.0.2490.76,Android,,37.231.217.246,False,,0.0,1203,,10228.0,0.0
142,BD,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,45.127.247.44,False,,0.0,1140,,7292.0,0.0
143,MY,18.0,M,2017-08-21 00:00:02,Alcatel,chrome,Android,,183.171.180.29,False,,0.0,1306,,10227.0,0.0
144,BO,984.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,d.billyaffcontent.com,181.115.128.19,False,,0.0,1138,,4384.0,0.0
145,MX,50.0,A,2017-08-21 00:00:02,Zonda,chrome,Android,,187.210.189.245,False,,0.0,242,,13959.0,0.0
146,IN,4.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,106.67.0.246,False,,0.0,209,,10128.0,0.0
147,IT,-1.0,A,2017-08-21 00:00:02,Apple,iphone,iOS,teensexheaven.com,79.47.3.106,False,,0.0,1160,,1643.0,0.0
148,IN,1.0,,2017-08-21 00:00:02,Samsung,chromium,Android,bestforexplmdb.com,106.193.223.50,False,,0.0,1348,,15718.0,0.0
149,IN,121.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,,47.11.243.225,False,,0.0,242,,11991.0,0.0
150,TH,25.0,A,2017-08-21 00:00:02,ZTE,chrome,Android,,223.24.91.54,False,,0.0,454,,7510.0,0.0
151,US,836.0,M,2017-08-21 00:00:02,Samsung,chrome,Android,,107.77.169.1,False,,0.0,1206,,11337.0,0.0
152,IN,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,106.67.86.8,False,,0.0,55,,4129.0,0.0
153,IN,121.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,47.9.11.43,False,,0.0,242,,11991.0,0.0
154,IN,-1.0,,2017-08-21 00:00:02,Generic,android_webkit,Android,,64.233.173.25,False,,0.0,1393,,9176.0,0.0
155,ID,47.0,A,2017-08-21 00:00:02,Samsung,android_webkit,Android,lsm.nextstger.com,114.4.78.203,False,,0.0,1224,,735.0,0.0
156,IN,1.0,A,2017-08-21 00:00:02,Samsung,android_webkit,Android,koolmedia.info,27.60.167.206,False,,0.0,36736,,9662.0,0.0
157,RU,-1.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,redrct.site,62.133.162.89,False,,0.0,587,,3312.0,0.0
158,ES,355.0,M,2017-08-21 00:00:02,Alcatel,chrome,Android,,84.78.26.16,False,,0.0,55,,4384.0,0.0
159,ID,74.0,,2017-08-21 00:00:02,Asus,chrome,Android,,114.125.181.152,False,,0.0,1306,,2024.0,0.0
160,MX,597.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,201.166.188.11,False,,0.0,454,,3312.0,0.0
161,IQ,-1.0,A,2017-08-21 00:00:02,Huawei,chrome,Android,,37.237.67.8,False,,0.0,242,,5893.0,0.0
162,ID,74.0,,2017-08-21 00:00:02,Generic,android_webkit,Android,,114.124.175.132,False,,0.0,1382,,13462.0,0.0
163,IN,4.0,A,2017-08-21 00:00:02,Lenovo,chrome,Android,billionstarads.com,1.187.85.195,False,,0.0,203,,10128.0,0.0
164,IN,1.0,,2017-08-21 00:00:02,Huawei,chrome,Android,becanium.com,27.62.224.115,False,,0.0,1433,,5893.0,0.0
165,BD,125.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,103.242.21.240,False,,0.0,1203,,10381.0,0.0
166,UK,-1.0,A,2017-08-21 00:00:02,Alcatel,chrome,Android,,86.170.255.230,False,,0.0,520,,2024.0,0.0
167,BD,45.0,A,2017-08-21 00:00:02,Symphony,chrome,Android,,103.67.156.33,False,,0.0,301,,3312.0,0.0
168,IN,1.0,A,2017-08-21 00:00:02,Google,chrome,Android,,106.210.141.53,False,,0.0,1129,,15330.0,0.0
169,TH,25.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,223.24.59.147,False,,0.0,55,,7619.0,0.0
170,TH,20.0,A,2017-08-21 00:00:02,ZTE,chrome,Android,,182.232.82.106,False,,0.0,520,,7510.0,0.0
171,MY,18.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,183.171.89.233,False,,0.0,657,,4901.0,0.0
172,IN,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,42.110.140.163,False,,0.0,55,,4129.0,0.0
173,IN,3.0,M,2017-08-21 00:00:02,Intex,chrome,Android,,101.214.209.250,False,,0.0,282,,15345.0,0.0
174,TH,-1.0,,2017-08-21 00:00:02,Generic,android_webkit,Android,,124.122.190.73,False,,0.0,1386,,3313.0,0.0
175,IN,121.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,47.30.45.84,False,,0.0,242,,11991.0,0.0
176,IN,-1.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,45.127.89.139,False,,0.0,55,,4129.0,0.0
177,IN,4.0,A,2017-08-21 00:00:02,Micromax,chrome,Android,,106.76.9.8,False,,0.0,242,,10128.0,0.0
178,BD,45.0,M,2017-08-21 00:00:02,Samsung,chrome,Android,,43.245.121.43,False,,0.0,1141,,4129.0,0.0
179,BD,45.0,M,2017-08-21 00:00:02,Generic,android_webkit,Android,,103.67.158.55,False,,0.0,282,,4129.0,0.0
180,IN,1.0,A,2017-08-21 00:00:02,Samsung,chrome,Android,,223.237.48.171,False,,0.0,209,,8582.0,0.0
181,ID,74.0,,2017-08-21 00:00:02,Generic,android_webkit,Android,,114.125.16.213,False,,0.0,1382,,1643.0,0.0
182,TH,20.0,A,2017-08-21 00:00:02,ZTE,chrome,Android,lighteningtrax.com,182.232.179.107,False,,0.0,553,,7510.0,0.0
183,IN,1.0,,2017-08-21 00:00:02,Lenovo,chrome,Android,,106.209.239.22,False,,0.0,1433,,7820.0,0.0
184,BD,-1.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,139.5.105.250,False,,0.0,537,,4904.0,0.0
185,KW,523.0,M,2017-08-21 00:00:02,Lenovo,46.0.2490.76,Android,,37.231.51.201,False,,0.0,1203,,10227.0,0.0
186,TH,25.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,49.237.196.233,False,,0.0,619,,7510.0,0.0
187,IN,2.0,A,2017-08-21 00:00:02,Nokia,uc,Android,162.243.254.216,42.109.11.164,False,,0.0,31012,,15751.0,0.0
188,IN,121.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,47.8.3.229,False,,0.0,1203,,10227.0,0.0
189,IN,-1.0,M,2017-08-21 00:00:02,Generic,46.0.2490.76,Android,,136.185.34.77,False,,0.0,55,,4129.0,0.0
190,BO,984.0,M,2017-08-21 00:00:02,Samsung,android_webkit,Android,obeyter.com,181.115.129.115,False,,0.0,27,,5893.0,0.0
191,TH,25.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,27.55.88.48,False,,0.0,1203,,5893.0,0.0
192,IN,-1.0,A,2017-08-21 00:00:02,Generic,android_webkit,Android,,27.97.20.171,False,,0.0,619,,10128.0,0.0
193,IN,1.0,,2017-08-21 00:00:02,iOcean,chrome,Android,,223.188.73.101,False,,0.0,1433,,7820.0,0.0
194,IN,121.0,A,2017-08-21 00:00:03,Samsung,chrome,Android,,139.167.1.129,False,,0.0,520,,11991.0,0.0
195,BD,-1.0,M,2017-08-21 00:00:03,Cubot,android_webkit,Android,,103.237.39.222,False,,0.0,1140,,7292.0,0.0
196,TH,20.0,A,2017-08-21 00:00:03,Generic,android_webkit,Android,,49.230.26.8,False,,0.0,1031,,7510.0,0.0
197,ZA,85.0,A,2017-08-21 00:00:03,Samsung,android_webkit,Android,,41.113.183.89,False,,0.0,1173,,1643.0,0.0
198,BD,-1.0,M,2017-08-21 00:00:03,X-BO,chrome,Android,aldtrax.com,103.204.85.10,False,,0.0,1140,,7292.0,0.0
199,TH,27.0,A,2017-08-21 00:00:03,ZTE,chrome,Android,http://mnnbv.ab4hr.com/redirect/index?type=meta&to=aHR0cDovL21ubmJ2LmFiNGhyLmNvbQ%3D%3D&data=aHR0cDovL3RyYWNraW5nLmdhc21vYmkuY29tL2ZmNTAwMzFkLWZhOWMtNGZhMi04YWJhLTllMTU3NGUwZWM1Yz92YXIzPXt2YXIzfSZTdWJpZD0xMjA3NTEwMDgzNzUzMTM1OTIxMDAwMDRlZmNkYTQ4MGNjY2EwNDkmcGF5b3V0PSZleHRlcm5hbGlkPWhha2NvNTk5OWQ1Mjg3NjM2NDk2ODgxNzQ4NA%3D%3D&action=action_final,1.46.170.142,False,,0.0,411,,7510.0,0.0
200,BR,-1.0,M,2017-08-21 00:00:03,Alcatel,chrome,Android,,168.205.7.2,False,,0.0,1306,,10227.0,0.0
